𱍐	fhqb	fhjj
𱍑	fcgf
𱺺	lwvb
𱺻	lpu
𱺼	pwfj
𱺽	mqfj
𱺾	ltkq
𱺿	pwff	mqff
𱻀	mqlq
𱻁	pwqq
𱻂	lbuu
𱻃	lttg
𱻄	mwub
𱻅	lpeg
𱻆	lxxb
𱻇	ljff
𱻈	mqqc
𱻉	judh
𱻊	ugcu
𱻋	tfnd
𱻌	ugeu
𱻍	udwy
𱻎	udni
𱻏	ugdg
𱻐	ugdn
𱻑	wgku
𱻒	uglq
𱻓	ueuf
𱻔	ugdg
𱻕	ynlf
𱻖	vtkd
𱻗	ngmm
𱻘	nnan
𱻙	pfqn
𱻚	ndgm
𱻛	adwn
𱻜	awvn
𱻝	ngee
𱻞	famn
𱻟	afsn
𱻠	ngrf
𱻡	amng
𱻢	ujnn
𱻣	cccn
𱻤	lnhn
𱻥	ynnw
𱻦	fshn
𱻧	mftx
𱻨	ftxm
𱻩	ftxi
𱻪	ftxc
𱻫	ftkn
𱻬	ftxq	ftnq
𱻭	ftfj
𱻮	ftvk
𱻯	ftjj
𱻰	dmjf
𱻱	wnfj
𱻲	divg
𱻳	digk
𱻴	digm
𱻵	gilg
𱻶	tfik	rwfk
𱻷	bgng
𱻸	bynt
𱻹	fkbf
𱻺	brnt
𱻻	bwyn
𱻼	buog
𱻽	bbmg
𱻾	bxa
𱻿	dcvh
𱼀	qtny
𱼁	een
𱼂	eghy
𱼃	mwwu
𱼄	lmww
𱼅	egkq
𱼆	efbn
𱼇	ewxf
𱼈	etjg
𱼉	emy
𱼊	vlef
𱼋	eyve
𱼌	eipm
𱼍	eseg
𱼎	ejog
𱼏	ekhm
𱼐	ewvl
𱼑	cexi	cexy
𱼒	evgf
𱼓	etfh
𱼔	edat
𱼕	edha
𱼖	exdm
𱼗	eonr
𱼘	ynec
𱼙	eyng
𱼚	fidw
𱼛	mwwt
𱼜	evku
𱼝	eaga
𱼞	edgn
𱼟	uxeh
𱼠	uxey
𱼡	epwk
𱼢	ealt
𱼣	etxe
𱼤	eyxf
𱼥	ypec
𱼦	hagw
𱼧	tahh
𱼨	thvn	thqn	thwn
𱼩	gchj	gcff
𱼪	gcfl
𱼫	jpgf
𱼬	gcft
𱼭	vff
𱼮	vfgq
𱼯	ovf
𱼰	vmfm	qgvm	wfvm
𱼱	vgnf	wfgf
𱼲	fjda	fjfa
𱼳	tdwk
𱼴	tdfl
𱼵	rlgs
𱼶	tenn
𱼷	tehg
𱼸	temq
𱼹	tegw
𱼺	tewf
𱼻	tecc
𱼼	teff
𱼽	tejq
𱼾	teuw
𱼿	sjte
𱽀	mjge
𱽁	nhde
𱽂	teaf
𱽃	teej
𱽄	teny
𱽅	tekt
𱽆	texa
𱽇	gcve
𱽈	qgve	wfve
𱽉	qcoi
𱽊	qcyj
𱽋	auhj
𱽌	aayu
𱽍	afu
𱽎	amu
𱽏	aquf
𱽐	amff
𱽑	agyu
𱽒	aagn
𱽓	ahww
𱽔	akqb
𱽕	akvb
𱽖	ajhj
𱽗	ahnr
𱽘	awwg
𱽙	awaj
𱽚	aqiu
𱽛	agog
𱽜	arvy
𱽝	agcu	atfc
𱽞	btbt	adbt
𱽟	asmb
𱽠	amww
𱽡	amww
𱽢	amgq
𱽣	awxf	uwxf
𱽤	autr
𱽥	aou
𱽦	apfu
𱽧	anhh
𱽨	adtb
𱽩	arcb
𱽪	alfq
𱽫	aigh
𱽬	aiqc
𱽭	agwg
𱽮	atcf
𱽯	aqwk
𱽰	arnv
𱽱	ayny
𱽲	aylk
𱽳	adwn
𱽴	agmj	gjgj
𱽵	agil
𱽶	akwk
𱽷	ajcl
𱽸	aqjb
𱽹	atwq
𱽺	awtt
𱽻	aelf
𱽼	aiut
𱽽	aitq
𱽾	axqj
𱽿	abth
𱾀	astd
𱾁	aaou
𱾂	afke
𱾃	ahqi
𱾄	amdl
𱾅	aqtw
𱾆	avwy
𱾇	awxf
𱾈	aijf
𱾉	audj	aufj
𱾊	ayte
𱾋	apyq
𱾌	aeal
𱾍	anna
𱾎	afkg
𱾏	adtd
𱾐	aafl
𱾑	ajhc
𱾒	alff
𱾓	gjgi	alfi
𱾔	gjge	alge
𱾕	btbe	ajne
𱾖	awyk
𱾗	atxt
𱾘	aqtn
𱾙	agwh
𱾚	alke
𱾛	admn
𱾜	abuw
𱾝	aswf
𱾞	arvj
𱾟	ajlf
𱾠	aqkp
𱾡	aeer
𱾢	aqgj
𱾣	uajy
𱾤	adfa
𱾥	arth
𱾦	uxas
𱾧	amau
𱾨	ajqp
𱾩	apda
𱾪	ovaw
𱾫	aiwf
𱾬	adfc
𱾭	afkf
𱾮	adjn
𱾯	alwc
𱾰	atxr
𱾱	amtt
𱾲	btbw	atmw
𱾳	afyf
𱾴	aswf
𱾵	astt
𱾶	amlo
𱾷	tlqt
𱾸	auaf
𱾹	abun
𱾺	alpi
𱾻	awyy
𱾼	axgh
𱾽	alff
𱾾	atoy
𱾿	aiyj	aiyf
𱿀	gjgu	anwu
𱿁	wgkd
𱿂	ajmm
𱿃	axtl
𱿄	aqtt
𱿅	auqw
𱿆	apyu
𱿇	ahtt
𱿈	nlvj	nkgj
𱿉	ajye
𱿊	atdf
𱿋	alpe
𱿌	axri
𱿍	awyh
𱿎	haml
𱿏	dchm
𱿐	hamy
𱿑	dmjm
𱿒	kgnm
𱿓	hatn
𱿔	fufm
𱿕	kgnh
𱿖	hagc
𱿗	hamm
𱿘	jngg
𱿙	jnuy
𱿚	jdln
𱿛	fqju
𱿜	jny
𱿝	jttc
𱿞	jufg
𱿟	jdmj
𱿠	jaqy
𱿡	jmqy
𱿢	jany
𱿣	jdqn
𱿤	jkkg
𱿥	wqij
𱿦	txgj
𱿧	jujg
𱿨	ssju
𱿩	jfjp
𱿪	jfvk
𱿫	jimk
𱿬	jamf
𱿭	jteg
𱿮	ihcj
𱿯	jgih
𱿰	jrwk
𱿱	atgh
𱿲	jafh
𱿳	jdjb
𱿴	gkij
𱿵	jaqk
𱿶	jwvl
𱿷	jrgh
𱿸	jytb
𱿹	jptq
𱿺	jujg
𱿻	ovju
𱿼	jfjf
𱿽	jlgh
𱿾	qgju
𱿿	jwqq
𲀀	jydj
𲀁	jdha
𲀂	jfuk
𲀃	jmee
𲀄	jhag
𲀅	jehv
𲀆	jytd
𲀇	ukbj
𲀈	jafm
𲀉	jadt
𲀊	jgqw
𲀋	vjjy
𲀌	ywwj
𲀍	jjyj
𲀎	alpj
𲀏	nhjp
𲀐	jnny
𲀑	tmqj
𲀒	jgxg	jgmg
𲀓	jelf
𲀔	qjej
𲀕	joyo
𲀖	jgjt	jagt
𲀗	qtbl
𲀘	tlqe
𲀙	tlas
𲀚	tleq
𲀛	tmhh
𲀜	txfh
𲀝	tlfh
𲀞	tych
𲀟	tfnh
𲀠	tqrh
𲀡	tfch
𲀢	tech
𲀣	tuth
𲀤	push
𲀥	wyeu
𲀦	puft
𲀧	ahte
𲀨	pugg
𲀩	pulg
𲀪	puhy
𲀫	putw
𲀬	puwa
𲀭	yyee
𲀮	pung
𲀯	yahe
𲀰	gqfe
𲀱	kqre
𲀲	pukc
𲀳	puth
𲀴	puff
𲀵	pumw
𲀶	ymhe
𲀷	nbme
𲀸	purf
𲀹	puty
𲀺	puyd
𲀻	pudi
𲀼	pugo
𲀽	puaq
𲀾	puev
𲀿	pugt
𲁀	puwi
𲁁	puyp
𲁂	puys
𲁃	gkhe
𲁄	putn
𲁅	yxte
𲁆	puvj	puvh
𲁇	puac
𲁈	puww
𲁉	stff
𲁊	sfvy
𲁋	sffq
𲁌	sube
𲁍	stmt
𲁎	pfhq
𲁏	udhq
𲁐	hqtm
𲁑	gimq
𲁒	mqrk
𲁓	mqmq
𲁔	ddnq
𲁕	fkmq
𲁖	apmq
𲁗	usmq
𲁘	ujmq
𲁙	upyq
𲁚	qesk
𲁛	qeck
𲁜	gjqe
𲁝	evqe
𲁞	qeus
𲁟	akge
𲁠	qenj
𲁡	yftt
𲁢	ytfh
𲁣	yynn
𲁤	yyqy
𲁥	yvtt
𲁦	cyng
𲁧	ydhg
𲁨	qqyf
𲁩	yyfg
𲁪	ygcj
𲁫	ymgg
𲁬	yttg
𲁭	yywf
𲁮	tify
𲁯	qqdy
𲁰	yqku
𲁱	yxxf	yxff
𲁲	ydht
𲁳	yyke
𲁴	ygqe
𲁵	yonr
𲁶	yskf
𲁷	yjjy
𲁸	yuwf
𲁹	yxxx	yxfx
𲁺	ymnp
𲁻	yfje
𲁼	yean
𲁽	yynl
𲁾	yjkj
𲁿	yudc
𲂀	yafc
𲂁	ywyy
𲂂	ymyy
𲂃	ycyy
𲂄	yfcy
𲂅	yeyy
𲂆	ylh
𲂇	ypsh
𲂈	ydmj
𲂉	ygog
𲂊	ywxf
𲂋	ylsy
𲂌	yjcf
𲂍	yyg
𲂎	yarg
𲂏	ygey
𲂐	yfmf
𲂑	yjlg
𲂒	yjog
𲂓	ygmj
𲂔	yyao
𲂕	yyuo
𲂖	yuep
𲂗	yvln
𲂘	wynk
𲂙	pdck
𲂚	hank
𲂛	pwwk
𲂜	pgkk
𲂝	gkuf
𲂞	fkuk
𲂟	fpgk
𲂠	fkui
𲂡	egnk
𲂢	qjeo
𲂣	haet
𲂤	eemf
𲂥	eetb
𲂦	eebl
𲂧	eell
𲂨	mwxn
𲂩	ynmi
𲂪	msgg
𲂫	jvmy
𲂬	mntt
𲂭	kkmu
𲂮	mdiy
𲂯	mpbg
𲂰	mhjh
𲂱	myny
𲂲	mjqn
𲂳	mtgf
𲂴	khgh
𲂵	qdbm
𲂶	ntfm
𲂷	lmad
𲂸	mfaw
𲂹	lmyd
𲂺	vmu
𲂻	mmy
𲂼	mrh
𲂽	muy
𲂾	mdg
𲂿	mskg
𲃀	jvmy
𲃁	mufh
𲃂	myhk
𲃃	mviy
𲃄	wksm
𲃅	movg
𲃆	khgh
𲃇	fovq
𲃈	foal
𲃉	fhcd
𲃊	fhry
𲃋	fhnx
𲃌	fhkq
𲃍	fhev
𲃎	fhtj
𲃏	fhgm
𲃐	fhnx
𲃑	fhak
𲃒	fhgw
𲃓	fhyt
𲃔	khnn
𲃕	ikhu
𲃖	khcg
𲃗	gikh
𲃘	khdn
𲃙	khtn
𲃚	khah
𲃛	khmg
𲃜	khqg
𲃝	khlt
𲃞	khqs
𲃟	khwc
𲃠	khye
𲃡	khpl
𲃢	khte
𲃣	khpe
𲃤	khpn
𲃥	khnu
𲃦	khlp
𲃧	khan
𲃨	khkk
𲃩	khaf
𲃪	khyf
𲃫	khgm
𲃬	khtj
𲃭	khpd
𲃮	khpa
𲃯	khuw
𲃰	khsf
𲃱	khxr
𲃲	khdc
𲃳	khkk
𲃴	adnh
𲃵	khmp
𲃶	khqw
𲃷	kheg
𲃸	khuh
𲃹	khiq
𲃺	khxm
𲃻	skhe
𲃼	ftjh
𲃽	khax
𲃾	khtn
𲃿	khye
𲄀	khop
𲄁	khho
𲄂	khtp
𲄃	khty
𲄄	khyg
𲄅	ywkh
𲄆	ftjh
𲄇	khfn
𲄈	khdo
𲄉	khpj
𲄊	djeh
𲄋	hfth
𲄌	khaq
𲄍	khal
𲄎	khpl
𲄏	khup
𲄐	khxi
𲄑	ankh
𲄒	khdf
𲄓	khyy
𲄔	khyd
𲄕	khae
𲄖	khwq
𲄗	ntmt
𲄘	tmdg
𲄙	tmdl
𲄚	tmdy
𲄛	tmdc
𲄜	tmdr
𲄝	ivtt
𲄞	tmdo
𲄟	tmdw
𲄠	tmdo
𲄡	tmdc
𲄢	tmdl
𲄣	tmdw
𲄤	tmde
𲄥	tmdm
𲄦	tmdy
𲄧	tmdv
𲄨	tmdp
𲄩	tmdf
𲄪	tmdq
𲄫	tmde
𲄬	tmdi
𲄭	tmdp
𲄮	tmdm
𲄯	tmdt
𲄰	tmdw
𲄱	tmdk
𲄲	tmdo
𲄳	ldy
𲄴	hnlh
𲄵	lrhf
𲄶	ltdj
𲄷	lgvh
𲄸	lmgf
𲄹	luog
𲄺	plct
𲄻	vlgk	wflk
𲄼	lybc
𲄽	lumd
𲄾	lbci
𲄿	tujl
𲅀	lfnh
𲅁	lqcy
𲅂	lnsy
𲅃	qqql
𲅄	utt
𲅅	ufjg
𲅆	ung
𲅇	ngud	nguh
𲅈	thud
𲅉	nkuh
𲅊	dfet
𲅋	cpi
𲅌	ipi
𲅍	ehwn	wneh
𲅎	cpd
𲅏	nwpi
𲅐	fnyp
𲅑	mpi
𲅒	wxpv
𲅓	dmhp
𲅔	rryp
𲅕	tghp
𲅖	hcpi
𲅗	hmpi
𲅘	thpd
𲅙	xqyp
𲅚	glpk
𲅛	wupd
𲅜	eapd
𲅝	ytfp
𲅞	yxfp
𲅟	ftrp
𲅠	jqbp
𲅡	wwgp
𲅢	pwsp
𲅣	pmpd
𲅤	pwfp
𲅥	ndpd
𲅦	lfjp
𲅧	jogp
𲅨	mgqp
𲅩	rdfp
𲅪	tffp
𲅫	uqrp
𲅬	wgkp
𲅭	ytep
𲅮	hpup
𲅯	wkfp	wmyp
𲅰	tjgp
𲅱	uvfp
𲅲	ntfp
𲅳	nhdp
𲅴	giwp
𲅵	idjp
𲅶	hfup
𲅷	tffp
𲅸	qyvp
𲅹	tolp
𲅺	tvmp
𲅻	edmp
𲅼	tjtp
𲅽	oolp
𲅾	uthi	uthy
𲅿	ujfp
𲆀	smpi
𲆁	gbnp
𲆂	tdrp
𲆃	toop
𲆄	tdkp
𲆅	oolp
𲆆	xgwp
𲆇	ogup
𲆈	fnhp
𲆉	lwwp
𲆊	ujjp
𲆋	ecmp
𲆌	tfqp
𲆍	tlep
𲆎	adwp
𲆏	qybh
𲆐	gmwb
𲆑	aabh
𲆒	gqbh
𲆓	oabh
𲆔	vobh
𲆕	wakb
𲆖	xgub
𲆗	ansb
𲆘	xtnb
𲆙	awsb
𲆚	jfhb
𲆛	kcbc
𲆜	rloc
𲆝	lkmb
𲆞	bffc
𲆟	fofb
𲆠	vfbd
𲆡	kgjn
𲆢	aldb
𲆣	efhb
𲆤	xyxb
𲆥	sggm
𲆦	sgqy
𲆧	sgnu
𲆨	sgtf
𲆩	sgwc
𲆪	sgwk
𲆫	sgqj
𲆬	sgvv
𲆭	sgdf
𲆮	gsgn
𲆯	ipqg
𲆰	sgjr
𲆱	sgee
𲆲	sgas
𲆳	sgkk
𲆴	sgel
𲆵	sgdf
𲆶	sgqt
𲆷	sgtl
𲆸	sgwk
𲆹	sgyl
𲆺	sgaf
𲆻	sgun
𲆼	sglj
𲆽	sgay
𲆾	qyvg
𲆿	usgg
𲇀	tonn
𲇁	qijf
𲇂	jfxf
𲇃	jgjl
𲇄	tgje
𲇅	qayy
𲇆	wghu
𲇇	qtfn
𲇈	qcfy
𲇉	qnuy
𲇊	qsg
𲇋	qdmj
𲇌	qrta
𲇍	jmcq
𲇎	qgaj
𲇏	qujg
𲇐	qgmj
𲇑	mmqf
𲇒	qafh
𲇓	qyox
𲇔	ahnq
𲇕	qjtl
𲇖	hhqf
𲇗	qain
𲇘	qavn
𲇙	qthd
𲇚	qqmx
𲇛	qugn
𲇜	qitu
𲇝	qltk
𲇞	qlub
𲇟	qpnm
𲇠	qytf
𲇡	qhxi
𲇢	qkkt
𲇣	qaqo
𲇤	qjbc
𲇥	qayf
𲇦	kgnq
𲇧	qhac
𲇨	qdws
𲇩	gjgq	aiqq
𲇪	qptk
𲇫	qbuf
𲇬	qjfc
𲇭	qftt
𲇮	qgng
𲇯	qmh
𲇰	qvyy
𲇱	qfcy
𲇲	qfny
𲇳	qqbh
𲇴	qny
𲇵	qccy
𲇶	qvtt
𲇷	qaiy
𲇸	qnan
𲇹	qgqj
𲇺	qagg
𲇻	qdhb
𲇼	qdmj
𲇽	qfny
𲇾	qgmw
𲇿	qrgw
𲈀	qwgi
𲈁	qfwf
𲈂	qgip
𲈃	qakg
𲈄	qgmy
𲈅	qkhn
𲈆	qimk
𲈇	qwqr
𲈈	qqoy
𲈉	qpgy
𲈊	qviy
𲈋	qdeg
𲈌	qdff
𲈍	qbbh
𲈎	qpgg
𲈏	qyps
𲈐	qody
𲈑	qcel
𲈒	qjiq
𲈓	qaws
𲈔	qrqc
𲈕	qfjn
𲈖	qdha
𲈗	qujh
𲈘	qugl
𲈙	qsoy
𲈚	qjyi
𲈛	qujf
𲈜	qulj
𲈝	qkhk
𲈞	qkks
𲈟	qhal
𲈠	qyny
𲈡	qaky
𲈢	fwwc
𲈣	wdje
𲈤	tayc
𲈥	pety
𲈦	dnuf
𲈧	uee
𲈨	uld
𲈩	uqvv
𲈪	uxxv
𲈫	uyfh
𲈬	uynr
𲈭	uxgi
𲈮	urgd
𲈯	uake	ugky
𲈰	uyxl
𲈱	ulpi
𲈲	ufag
𲈳	ujfh
𲈴	fjhu
𲈵	uii
𲈶	umqv
𲈷	ucci
𲈸	unfd
𲈹	usd
𲈺	uiqv
𲈻	uwtf
𲈼	urii
𲈽	ugkd
𲈾	yjhu
𲈿	yfhu
𲉀	upuv
𲉁	uawn
𲉂	ufff
𲉃	uadk
𲉄	umgu
𲉅	uyvk
𲉆	uajd
𲉇	ugda
𲉈	cuga
𲉉	bwxn
𲉊	buy
𲉋	bhhy
𲉌	brg
𲉍	bckg
𲉎	bgjg
𲉏	bvfh
𲉐	wnni
𲉑	bdac
𲉒	nhnt
𲉓	befh
𲉔	wnne
𲉕	nhnh
𲉖	nhnw
𲉗	bfas
𲉘	bmjh
𲉙	wnnh
𲉚	nhns
𲉛	nhnt
𲉜	bffc
𲉝	bwyk
𲉞	bajv
𲉟	blnd
𲉠	byef
𲉡	nhnh
𲉢	bskb
𲉣	bget
𲉤	bskp
𲉥	buey
𲉦	bskd
𲉧	vwyg
𲉨	dnwy
𲉩	wycc
𲉪	vkwy
𲉫	wyct
𲉬	ogwy
𲉭	nywc	nywq
𲉮	dmwy
𲉯	ywyf
𲉰	feb
𲉱	gphe
𲉲	fyfj
𲉳	fgou
𲉴	fntr
𲉵	frvy
𲉶	fwdu
𲉷	fwar
𲉸	fkuf
𲉹	ffnx
𲉺	faar
𲉻	fbbj
𲉼	fjsu
𲉽	fqty
𲉾	ftyg
𲉿	fiaf
𲊀	fpeg
𲊁	fvcf
𲊂	ffao
𲊃	gphy
𲊄	fqnk
𲊅	fwhs
𲊆	fyyb
𲊇	fysu
𲊈	fijh
𲊉	fith
𲊊	fwgn
𲊋	ffup
𲊌	fwgy
𲊍	fjad
𲊎	fkkw
𲊏	fiaj
𲊐	gphj
𲊑	ffcf
𲊒	fyjc
𲊓	ffch
𲊔	fnwg
𲊕	getn
𲊖	evhe
𲊗	gete
𲊘	gejl
𲊙	djdf
𲊚	ugvd
𲊛	afrc
𲊜	dafj
𲊝	ukfw
𲊞	afpc
𲊟	afun
𲊠	afiw
𲊡	afuy
𲊢	nhkx
𲊣	nhkh
𲊤	nhkp
𲊥	fnhg
𲊦	ydjg
𲊧	ujtg
𲊨	tdkj
𲊩	ujqk
𲊪	dmgh
𲊫	jhdm
𲊬	qndm
𲊭	dmqb
𲊮	ptam
𲊯	lgdm
𲊰	hamm
𲊱	jhdm
𲊲	vqdm
𲊳	fkum
𲊴	ftjm
𲊵	jpvm
𲊶	wyvm
𲊷	jkhm
𲊸	adwm
𲊹	cydm
𲊺	ghdm
𲊻	skdm
𲊼	fodm
𲊽	wvfm
𲊾	adwm
𲊿	jogm
𲋀	ovdm
𲋁	wynm
𲋂	fwfm
𲋃	dgkm
𲋄	mfd
𲋅	mtjt
𲋆	mtjt
𲋇	wgef
𲋈	mfwj
𲋉	mtjy
𲋊	mtjn
𲋋	mfwp
𲋌	mtjl
𲋍	mtjn
𲋎	dcmq
𲋏	mqtn
𲋐	mqdx
𲋑	mqvi
𲋒	djdh	djdj
𲋓	iqfu	iqnc
𲋔	wpnf	wyvf
𲋕	wpty	wyvt
𲋖	vcwe
𲋗	gqje
𲋘	wpaq	wyvq
𲋙	wpjf	wyvf
𲋚	wpwa	wyva
𲋛	dmwe
𲋜	wpxr	wyvr
𲋝	wpuw	wyvw
𲋞	wpdh	wyvh
𲋟	wpaa	wyva
𲋠	wphe	wyve
𲋡	wpyi	wyvi
𲋢	qnyy
𲋣	qnty
𲋤	qnvk
𲋥	qnpe
𲋦	qnal
𲋧	qnik
𲋨	qnxr
𲋩	qngi
𲋪	qnjl
𲋫	qnul
𲋬	qnyn
𲋭	jghh
𲋮	tjgi
𲋯	tjag
𲋰	tjgi
𲋱	tjul
𲋲	tjac
𲋳	cxxn
𲋴	crcy
𲋵	egcu
𲋶	cyni
𲋷	cuyy
𲋸	cgoc
𲋹	cfoy
𲋺	cdcc
𲋻	ghfu
𲋼	cukn
𲋽	cfke
𲋾	tqyc
𲋿	cgjf
𲌀	cxtu
𲌁	cadr
𲌂	cccn
𲌃	cugt
𲌄	chy
𲌅	cwyc
𲌆	cdqn
𲌇	dskc
𲌈	cyiy
𲌉	cndg
𲌊	cudk
𲌋	cwgu
𲌌	medc
𲌍	meny
𲌎	mees
𲌏	mexi
𲌐	mewj
𲌑	meyi
𲌒	meyg
𲌓	meup
𲌔	meot
𲌕	mesw
𲌖	lymk
𲌗	ymkq
𲌘	ylkv
𲌙	ymki
𲌚	dekf
𲌛	dewf
𲌜	defu
𲌝	dekj
𲌞	deus
𲌟	dewy
𲌠	dewn
𲌡	defk
𲌢	deaf
𲌣	dejp
𲌤	fupc
𲌥	elof	elqf
𲌦	funf
𲌧	rqci
𲌨	rqcd
𲌩	rqcm
𲌪	rqcd
𲌫	muyc
𲌬	rqcd
𲌭	rqpf	tlqf
𲌮	rqci
𲌯	rrqi
𲌰	rqcq
𲌱	qogn
𲌲	qouy
𲌳	mdqo
𲌴	qogf
𲌵	awwo
𲌶	fqot
𲌷	qoll
𲌸	qoqm
𲌹	qoqe
𲌺	qovd
𲌻	qodc
𲌼	qonf
𲌽	qofg
𲌾	qohe
𲌿	qotn
𲍀	qotk
𲍁	qoup
𲍂	ylko
𲍃	qouk
𲍄	qomh
𲍅	qdkd
𲍆	qgnn
𲍇	qgyq
𲍈	qgyn
𲍉	fqqg
𲍊	qgrh
𲍋	qguy
𲍌	qgdg
𲍍	cfqg
𲍎	qgaw
𲍏	qgtq
𲍐	qgoy
𲍑	qgaq
𲍒	qgdt
𲍓	qggd
𲍔	qgit
𲍕	qgrf
𲍖	qgjg
𲍗	qgec
𲍘	qgfj
𲍙	qgnt
𲍚	wvgf
𲍛	gbno
𲍜	wvgc
𲍝	wvgw
𲍞	ymho
𲍟	sbwo
𲍠	wvgb
𲍡	wvgp
𲍢	wvgf
𲍣	gogo
𲍤	pjuo
𲍥	rgto
𲍦	wvgm
𲍧	uxxo
𲍨	akko
𲍩	wvgl
𲍪	jmho
𲍫	uhqg
𲍬	qyng
𲍭	gbng
𲍮	yqyg
𲍯	qyng
𲍰	qiqg
𲍱	thfg
𲍲	vkqg
𲍳	deqg
𲍴	xxfg
𲍵	hxqg
𲍶	wdqg
𲍷	sbqg
𲍸	ieqg
𲍹	ksqg
𲍺	pdcg
𲍻	ujqg
𲍼	itdg
𲍽	jjqg
𲍾	wyqg
𲍿	ywtg
𲎀	amdg
𲎁	dfeg
𲎂	wycg
𲎃	lxig
𲎄	igeg
𲎅	igkg
𲎆	qynf
𲎇	vnug
𲎈	qyne
𲎉	yssg
𲎊	hlqj
𲎋	ynjo
𲎌	ynji
𲎍	ynjo
𲎎	ynjw
𲎏	fwwc
𲎐	swwt
𲎑	gtlp
𲎒	gtyy
𲎓	gtgt
𲎔	ysss
𲎕	jamw
𲎖	ynao
𲎗	fhwo
𲎘	lfom
𲎙	lhnn
𲎚	gafc
𲎛	fkua
𲎜	fkus
𲎝	vnut
𲎞	vnuk
𲎟	vnus
𲎠	vnuv
𲎡	thlr
𲎢	hbwk	hwwk
𲎣	fwtb
𲎤	fwfb
𲎥	haeb
𲎦	uveb
𲎧	hwbc
𲎨	hwbk
𲎩	hwbt
𲎪	hwbc
𲎫	hwbm
𲎬	ujne
𲎭	ujng
𲎮	qjnf
𲎯	bmqa
====
𱍐	fhqb	fhjj
𱍓	dtfn	dtfy
𱍕	giww	ghww
𱍿	lvqy	kgky
𱏜	wtxn	wtmg
𱐞	hvcv	hjxv
𱑟	dsjg	dseg
𱒭	gosk	gokh
𱕳	kuuq	kukq
𱕻	loi	lqoi
𱗭	fogj	fogk
𱙨	vaqe	vave
𱚕	pvfj	pvhh
𱛪	bmit	mmit
𱛺	mgki	mgku
𱝭	tgmh	tymh
𱞜	tman	tlan
𱟛	jexn	jxyn	yxxn
𱟞	hhah	hdht
𱡃	rnlv	rnkv
𱡔	ryvg	rywg
𱡙	gfgc	ghgc
𱡧	yvmo	ywfo
𱡪	rxrh	vcrh
𱡰	drtq	drth
𱡹	hjhk	hjhh
𱢗	jnuh	jnuj
𱢜	jpdk	jptk	jpgk
𱢲	jtxb	jtmg
𱣟	svd	sqgv	swfv
𱣶	sloy	slqo
𱤶	svmo	swfo
𱤻	gjgd	hghg	ghhg
𱥴	igfy	ifhy
𱥾	ighf	igjv
𱦹	iquf	iqfu	iqfi
𱦻	hhhg	iwwg
𱧙	hhhu	iwwu
𱧱	igqi	igqu	igqy
𱧼	igju	iamu
𱧽	iogj	iogh	iogi
𱨭	ikfd	ikff
𱨼	iyuy	iyiy
𱩅	ifsf	ifkf
𱩎	ilud	ilyd	iluh
𱩒	iloe	ilqe
𱩗	iobt	iqot
𱩞	iijg	iith
𱩫	vmgi	wfmi
𱩵	ilvt	ikgt
𱪏	iayj	iayf
𱪷	whfo	wfho
𱪽	dnfo	dnho
𱫇	gifo	giho
𱫏	oydf	oytf
𱫶	otlq	otlc
𱬠	lloo	lolo
𱬧	vtlo	qgto	wfto
𱬩	yuro	yopo
𱬰	vepo	wfeo
𱬲	vmgo	wfmo
𱭔	nhdd	nhdf
𱭻	qtrd	qttw
𱮡	gvtc	yvtc
𱮦	qtlu	tntu
𱮪	gngy	gvhy	gnty
𱮫	gnfc	gvhc	gntc
𱮭	qtgq	qtac
𱮶	ghvg	gmfg	gvhh
𱯎	gake	ggky
𱯓	gjgn	ghhn	ghgn
𱯔	gjge	gjde
𱯖	gedb	gqdb
𱯢	ngyd	ngyh
𱯣	gdny	gdnc
𱯫	gtlq	gtlt
𱯸	gwmm	gwkm	gumm	gukm
𱰀	ggpq	ggpc
𱰁	gvqb	gwfb
𱰂	gyqw	gyqq
𱰇	vtly	qgty	wfty
𱲛	volf	qgol	wfol
𱲩	hpu	hiyu
𱲵	hyuh	hufh
𱳑	hqgk	hqak
𱳕	hccq	chcq
𱴮	daeu	dgje
𱵊	rini	tuyi
𱵲	pyuw	pyww
𱵷	pyvu	pyqu	pywu
𱵺	whoc	whqc
𱷦	ucdc	ucdq
𱷭	uvhc	uqgc	uwfc
𱸨	txkj	txcj
𱸿	qino	qwyo
𱹂	ynio	ynwo
𱹌	ymao	ylao
𱹟	yimo	yilo	ywyo
𱹡	yomo	yolo
𱹪	xitt	xtt
𱺅	xqay	xqat
𱺍	xlbi	xlbx
𱺎	xuju	xuyu
𱺿	pwff	mqff
𱻬	ftxq	ftnq
𱻶	tfik	rwfk
𱼑	cexi	cexy
𱼨	thvn	thqn	thwn
𱼩	gchj	gcff
𱼰	vmfm	qgvm	wfvm
𱼱	vgnf	wfgf
𱼲	fjda	fjfa
𱽈	qgve	wfve
𱽝	agcu	atfc
𱽞	btbt	adbt
𱽣	awxf	uwxf
𱽴	agmj	gjgj
𱾉	audj	aufj
𱾓	gjgi	alfi
𱾔	gjge	alge
𱾕	btbe	ajne
𱾲	btbw	atmw
𱾿	aiyj	aiyf
𱿀	gjgu	anwu
𱿈	nlvj	nkgj
𲀒	jgxg	jgmg
𲀖	jgjt	jagt
𲁆	puvj	puvh
𲁱	yxxf	yxff
