𪜀	fnv
𫊑	adtl
𫊒	aqof
𫊓	aiao
𫊔	afto
𫊕	atft	adwt	arwt
𫊖	aeyj	aeyf
𫊗	aahl
𫊘	ajah
𫊙	aqgf
𫊚	arii
𫊛	akhb
𫊜	allg
𫊝	hakd
𫊞	havd
𫊟	hatf
𫊠	hamh
𫊡	hath
𫊢	hayj	hayf
𫊣	haqo
𫊤	jxn
𫊥	jfg
𫊦	juhh
𫊧	javn
𫊨	jrnn
𫊩	jeyy
𫊪	jtay
𫊫	cuju
𫊬	jmdy
𫊭	mdju
𫊮	jhnt
𫊯	jtuh
𫊰	jqhy
𫊱	qiju
𫊲	cdju
𫊳	jgkq
𫊴	jrta
𫊵	jffy
𫊶	jiqn
𫊷	jqsy
𫊸	jtdj
𫊹	jwfc
𫊺	jxiy
𫊻	jvfy
𫊼	nju
𫊽	jkqj	jklj
𫊾	jtmt
𫊿	jwca
𫋀	jpsy
𫋁	juh
𫋂	jgvv
𫋃	jfy
𫋄	jrgb
𫋅	jrpy
𫋆	jqg
𫋇	jqys
𫋈	jyny
𫋉	yntj
𫋊	gkmj
𫋋	jgil
𫋌	jwam
𫋍	jptk
𫋎	juth
𫋏	jdfk
𫋐	jamy
𫋑	jgyg	jgqg
𫋒	dcjj
𫋓	jawk
𫋔	jyxf
𫋕	jpey
𫋖	jgkj
𫋗	jiwy
𫋘	jxlg
𫋙	jxkj	jxcj
𫋚	jfkf
𫋛	jage
𫋜	jelf
𫋝	jwys
𫋞	jwgn
𫋟	jahl
𫋠	jmau
𫋡	ynjj
𫋢	jnup
𫋣	jadj
𫋤	jfnf
𫋥	jooe
𫋦	jfhc
𫋧	jyaw
𫋨	jygi
𫋩	jhqo
𫋪	tlxx
𫋫	dwtl
𫋬	tluj
𫋭	tmdh
𫋮	tfkh
𫋯	trgh
𫋰	ttdh
𫋱	tmmh
𫋲	puaq
𫋳	puyn
𫋴	uyeu
𫋵	pujh
𫋶	puvh
𫋷	puch
𫋸	pude
𫋹	puaq
𫋺	puiq
𫋻	puwc
𫋼	puxi
𫋽	puqe
𫋾	pudn
𫋿	pust
𫌀	pugm
𫌁	pufh
𫌂	putv
𫌃	puth
𫌄	pucd
𫌅	pujr
𫌆	puvc
𫌇	pubc
𫌈	puwm
𫌉	puuo
𫌊	puaf
𫌋	puju
𫌌	pumi
𫌍	tdje
𫌎	euke
𫌏	nhde
𫌐	puft
𫌑	puuj
𫌒	puxq
𫌓	pumu
𫌔	puvd
𫌕	pudh
𫌖	pufl
𫌗	puyf
𫌘	puoc
𫌙	putj
𫌚	sty
𫌛	smth
𫌜	hqvd
𫌝	hqkq
𫌞	shqb
𫌟	gaeq
𫌠	wsgq
𫌡	fwfq
𫌢	hqff
𫌣	hqas
𫌤	fnmq
𫌥	vvhq	vhqq
𫌦	tfqq
𫌧	hqum
𫌨	qimq
𫌩	mqqk
𫌪	remq
𫌫	gliq
𫌬	sfiq
𫌭	mqtt
𫌮	qedn
𫌯	qetj
𫌰	qejr
𫌱	qenh
𫌲	yaj
𫌳	yvg
𫌴	yyy
𫌵	ccyf
𫌶	ygig
𫌷	jnyd
𫌸	wayf
𫌹	ycyg
𫌺	syf
𫌻	yyey
𫌼	ylh
𫌽	yevg
𫌾	ytxi
𫌿	ygvv
𫍀	yqg
𫍁	yakh
𫍂	yith
𫍃	ycel
𫍄	ynuh	ynuj
𫍅	ycbs
𫍆	yrvn
𫍇	ypwk
𫍈	ypqv
𫍉	yssy
𫍊	yahf
𫍋	yukg
𫍌	ycep
𫍍	yafy
𫍎	ykbt
𫍏	ynty
𫍐	hidy
𫍑	yywy
𫍒	ypxm
𫍓	yuto
𫍔	yhaa
𫍕	yntw
𫍖	ynlw
𫍗	yecu
𫍘	ynij
𫍙	ybn
𫍚	ytdy
𫍛	ywvn
𫍜	yfcy
𫍝	yanw
𫍞	ytuh
𫍟	ytbn
𫍠	yqbn
𫍡	ypxn
𫍢	yatq
𫍣	ymgk
𫍤	ytdj
𫍥	yiqn
𫍦	ypey
𫍧	ygoy
𫍨	ydfe
𫍩	ykmw
𫍪	ynny
𫍫	ydjn
𫍬	ymun
𫍭	yuvg
𫍮	ynbm
𫍯	ydgt
𫍰	ylny
𫍱	ymdj
𫍲	yvhc
𫍳	ytgf
𫍴	yovg
𫍵	ygqt
𫍶	ygct
𫍷	yrqc
𫍸	yynn
𫍹	yhag
𫍺	ytlt
𫍻	yfkk
𫍼	yujf
𫍽	ylge
𫍾	ypns
𫍿	yuen
𫎀	wwkw
𫎁	fjwk
𫎂	tvwk
𫎃	ywfu
𫎄	gkus
𫎅	egf
𫎆	ewwy
𫎇	opge
𫎈	eedy
𫎉	sfie
𫎊	eeay
𫎋	eede
𫎌	eeov
𫎍	eedn
𫎎	hmhk
𫎏	mgfh
𫎐	mtnn
𫎑	mqhh
𫎒	myn
𫎓	mpgg
𫎔	wfmu
𫎕	mymh
𫎖	mwgk
𫎗	mgik
𫎘	rrmu
𫎙	mukq
𫎚	lmqh
𫎛	qaqm
𫎜	fitm
𫎝	mxxr
𫎞	mnhh
𫎟	mftj
𫎠	ynam
𫎡	ahnm
𫎢	myin
𫎣	ycly
𫎤	wvmm
𫎥	jvdm
𫎦	mdxn
𫎧	mqkg
𫎨	mwgi
𫎩	mpws
𫎪	musy
𫎫	msjh
𫎬	ujam
𫎭	foca
𫎮	fogf
𫎯	foaj
𫎰	foxl
𫎱	fhdl
𫎲	fhfi
𫎳	fhxf
𫎴	fhmk
𫎵	fhdq
𫎶	fhai
𫎷	fhbi
𫎸	fhlr
𫎹	fhjf
𫎺	fhce
𫎻	fhjg
𫎼	fhnv
𫎽	fhfl
𫎾	fhsn
𫎿	fhdq
𫏀	khfy
𫏁	khgu
𫏂	khty
𫏃	khty
𫏄	khaf
𫏅	khmd
𫏆	khny
𫏇	khaw
𫏈	khiq
𫏉	khqk
𫏊	khwf
𫏋	khtj
𫏌	khgo
𫏍	khnt
𫏎	khvq
𫏏	khge
𫏐	lrkh
𫏑	khlq
𫏒	khwc
𫏓	khtx
𫏔	dmjh
𫏕	lcah
𫏖	khec
𫏗	khwc
𫏘	khil
𫏙	khrv
𫏚	khwk
𫏛	khyh
𫏜	khlg
𫏝	khog
𫏞	khor
𫏟	khul
𫏠	khjq
𫏡	khqe
𫏢	khte
𫏣	khgg
𫏤	khye
𫏥	khyn
𫏦	khvh
𫏧	khfj
𫏨	khqd
𫏩	khkp
𫏪	tmdj
𫏫	tmda
𫏬	tmdt
𫏭	tmdt
𫏮	tmdp
𫏯	tmdc
𫏰	tmdu
𫏱	tmdj
𫏲	lfnn
𫏳	lat
𫏴	lrg
𫏵	bilj
𫏶	ldww
𫏷	lhfg
𫏸	lqdn
𫏹	lwff	lrrh
𫏺	lefc
𫏻	ovlh
𫏼	fwfl
𫏽	ujnl
𫏾	lltk
𫏿	ltfl
𫐀	lias
𫐁	gjhl
𫐂	plvl	pkgl
𫐃	llel	lexl
𫐄	lgqn
𫐅	lmh
𫐆	ldln
𫐇	lmwy
𫐈	ldcy
𫐉	lwyc
𫐊	cdlj
𫐋	rvyl
𫐌	luah
𫐍	ltmt
𫐎	ldsk
𫐏	lmfk
𫐐	lvqn
𫐑	lpnn
𫐒	lqyg
𫐓	lcbs
𫐔	lfcl
𫐕	ldhv
𫐖	lnwe
𫐗	logy
𫐘	ldgn
𫐙	llll
𫐚	usnn
𫐛	ugmi
𫐜	ucny
𫐝	uyyw
𫐞	hpk
𫐟	api
𫐠	spi
𫐡	wynp
𫐢	dpd
𫐣	gmwp
𫐤	yspk
𫐥	ftxp
𫐦	dqpv
𫐧	rfwp
𫐨	foyp	fopi
𫐩	wwfp
𫐪	lqip
𫐫	fwqp
𫐬	atfp
𫐭	qvhp
𫐮	wgmp
𫐯	vwpi
𫐰	vqpv
𫐱	pfip
𫐲	pghp
𫐳	ehfd	fudh
𫐴	ewpi
𫐵	topi
𫐶	qkqp
𫐷	ovpd
𫐸	pahp
𫐹	nhpd
𫐺	rvnp
𫐻	qbtp
𫐼	upyp
𫐽	oitp
𫐾	egip
𫐿	gkip
𫑀	jfhp
𫑁	qtdp
𫑂	qrmp
𫑃	ynjp
𫑄	fgpd
𫑅	gkip
𫑆	fcyp
𫑇	radp
𫑈	pjmp
𫑉	ytmp
𫑊	lkmp
𫑋	gkip
𫑌	mnmp
𫑍	khgp
𫑎	tthp
𫑏	vfbp
𫑐	gkip
𫑑	mnmp
𫑒	gkip
𫑓	wnnp
𫑔	oopp
𫑕	ujfp
𫑖	djdp
𫑗	qtbh
𫑘	fnyb
𫑙	qytb
𫑚	ghnb
𫑛	anyb
𫑜	iqbh
𫑝	atdb
𫑞	egnb
𫑟	ybh
𫑠	aabh
𫑡	kjnb
𫑢	dtbh
𫑣	kgmb
𫑤	lebh
𫑥	dfeb
𫑦	jpvb
𫑧	akkb
𫑨	qobh
𫑩	ugyb
𫑪	flbh
𫑫	uqwb
𫑬	slab
𫑭	ynjb
𫑮	djfb
𫑯	yvcf
𫑰	uegb
𫑱	yvce
𫑲	elvb
𫑳	sgvy
𫑴	sgdb
𫑵	sgld
𫑶	sggu
𫑷	sgwi
𫑸	sgnn
𫑹	sgsw
𫑺	sgwh
𫑻	sgtk
𫑼	sguf
𫑽	sgni
𫑾	sgyi
𫑿	sgao
𫒀	tltn
𫒁	jfyh
𫒂	qijf
𫒃	tgjx
𫒄	ocdf
𫒅	tgjc
𫒆	qhg
𫒇	qtan
𫒈	qvf
𫒉	qbh
𫒊	qdhh
𫒋	qty
𫒌	qwjh
𫒍	qtfh
𫒎	qiy
𫒏	qlg
𫒐	qkxb
𫒑	qwfn
𫒒	qrgg
𫒓	qqhy
𫒔	qcfg
𫒕	qfff
𫒖	qsg
𫒗	qjxt
𫒘	qrmh
𫒙	qpfy
𫒚	qyoy
𫒛	qpbg
𫒜	qyfn
𫒝	qgjq
𫒞	qaah
𫒟	qwty
𫒠	qtxi
𫒡	qtnh
𫒢	qpwf
𫒣	yogq
𫒤	qybg
𫒥	qynn
𫒦	qfhg
𫒧	qfy
𫒨	qfjh
𫒩	qdwh
𫒪	qvqn
𫒫	qrqy
𫒬	qwqq
𫒭	qpgy
𫒮	qpxc
𫒯	qckq
𫒰	qfth
𫒱	qjtd
𫒲	qrdf
𫒳	qtky
𫒴	qptk
𫒵	qukc
𫒶	qbkb
𫒷	qngf
𫒸	qfkq	qfkm
𫒹	qlqn
𫒺	wnnq
𫒻	qych
𫒼	qubp
𫒽	qooq
𫒾	qxmw
𫒿	qaqh
𫓀	qafl
𫓁	qmpi
𫓂	qwga
𫓃	qphw
𫓄	qfkf
𫓅	qduh
𫓆	qfgf
𫓇	qgmi
𫓈	qgym
𫓉	qjgf
𫓊	qhgc
𫓋	qhhh
𫓌	qtwk
𫓍	qttt
𫓎	qxdx
𫓏	qdgn
𫓐	qmau
𫓑	qaqn
𫓒	qmae
𫓓	vtpq	wftq
𫓔	qugt
𫓕	qyjg
𫓖	fkuq
𫓗	qhaf
𫓘	qyww
𫓙	qxwy
𫓚	qnyf
𫓛	qddj
𫓜	qyjd
𫓝	qggq
𫓞	qssk
𫓟	qkkc
𫓠	qfnb
𫓡	qlft
𫓢	qnlw
𫓣	qjjo
𫓤	qtag
𫓥	qwy
𫓦	qbg
𫓧	qfwy
𫓨	qat
𫓩	qwwy
𫓪	qwcy
𫓫	qwgn
𫓬	qamh
𫓭	qmdy
𫓮	qqvg
𫓯	qffg
𫓰	qdgt
𫓱	qtdj
𫓲	qqjg
𫓳	qpyn
𫓴	qcrh
𫓵	qdfe
𫓶	qkeg
𫓷	qtnh
𫓸	qgot
𫓹	qadw
𫓺	qhal
𫓻	qwyn
𫓼	qtkg
𫓽	qpfi
𫓾	qyce
𫓿	qoqw
𫔀	qgli
𫔁	qfam
𫔂	qjgh
𫔃	qjtq
𫔄	qcbs
𫔅	qfpi
𫔆	qlfc
𫔇	qtlx
𫔈	qube
𫔉	qmmv
𫔊	qpwj
𫔋	qffw
𫔌	qaet
𫔍	qtol
𫔎	qcbk
𫔏	qnbb
𫔐	qfkc
𫔑	qylg
𫔒	qceo
𫔓	qfwy
𫔔	qmwk
𫔕	qodm
𫔖	dpey
𫔗	dgdn
𫔘	uhk
𫔙	auf
𫔚	ukhk
𫔛	uwxv
𫔜	udd
𫔝	uhd
𫔞	umd
𫔟	uwai
𫔠	utui
𫔡	ugku
𫔢	ukkh
𫔣	utjk
𫔤	uyfh
𫔥	uadw
𫔦	tfua
𫔧	uwww
𫔨	uwye
𫔩	uajd
𫔪	uujn
𫔫	ueed
𫔬	dnub
𫔭	ugak
𫔮	ued
𫔯	uufk
𫔰	ucak
𫔱	uyoi
𫔲	uftb
𫔳	uyfh
𫔴	uwyd
𫔵	ugct
𫔶	uths
𫔷	ugan
𫔸	jfhu
𫔹	uyml
𫔺	bdy
𫔻	byy
𫔼	bmg
𫔽	bcfg
𫔾	bbg
𫔿	bjsh
𫕀	budy
𫕁	bgkg
𫕂	bpwv
𫕃	bcbb
𫕄	bhwy
𫕅	byjg	byjf
𫕆	bgka
𫕇	bgxf
𫕈	bjqn
𫕉	befc
𫕊	bexc
𫕋	bemf
𫕌	byna
𫕍	bpgg
𫕎	bwcn
𫕏	btnf
𫕐	bdqq
𫕑	bqgl
𫕒	bumd
𫕓	bcck
𫕔	bdui
𫕕	bafk
𫕖	bskn
𫕗	byti
𫕘	bxgg
𫕙	xtvi
𫕚	wyww
𫕛	tdwy
𫕜	wngy
𫕝	fbj
𫕞	fff
𫕟	fef
𫕠	fcb
𫕡	fuxb
𫕢	fxgu
𫕣	vyfv
𫕤	fwtf
𫕥	fkmu
𫕦	fiyu
𫕧	fawv
𫕨	fcde
𫕩	fjaf
𫕪	figj
𫕫	frde
𫕬	fafl
𫕭	fihj
𫕮	fafb
𫕯	feto
𫕰	fedh
𫕱	fwys
𫕲	fwgp
𫕳	fafg
𫕴	fujn
𫕵	filf
𫕶	fnkf
𫕷	fiay
𫕸	geqh
𫕹	getg
𫕺	geuf
𫕻	gege
𫕼	geuq
𫕽	wgkd
𫕾	lfhd
𫕿	udwd
𫖀	dmjs
𫖁	dmjq
𫖂	vfbd
𫖃	dmjm
𫖄	wnhd	wwnd
𫖅	afdx
𫖆	akfw	afkw
𫖇	afwf
𫖈	nafj
𫖉	afae
𫖊	afsj
𫖋	afnc
𫖌	gkah
𫖍	nhkh
𫖎	yinh
𫖏	nhkc
𫖐	fash
𫖑	fnhn
𫖒	fnhf
𫖓	fnhf
𫖔	fnhe
𫖕	fnhf
𫖖	fnhu
𫖗	ujuf
𫖘	ujca
𫖙	ujhm
𫖚	ujpw
𫖛	ujaf
𫖜	ujte
𫖝	xxdm
𫖞	rydm
𫖟	svdm
𫖠	ehdm
𫖡	fpgm
𫖢	jfim
𫖣	hmdm
𫖤	wngm
𫖥	jgkm
𫖦	kdmk
𫖧	dmji
𫖨	ejdm
𫖩	vlqm
𫖪	tndm
𫖫	pqdm
𫖬	dmwe
𫖭	ckdm
𫖮	mndm
𫖯	iqdm
𫖰	qqdm
𫖱	vedm	vcdm
𫖲	kmdm
𫖳	vtkm
𫖴	gmdm
𫖵	rgmm
𫖶	ynem
𫖷	ansm
𫖸	drim
𫖹	dhim
𫖺	sqqm
𫖻	wcmj
𫖼	mfgs
𫖽	mftc
𫖾	wgef
𫖿	mfud
𫗀	mfiu
𫗁	mfvp
𫗂	mfvp
𫗃	mfwn
𫗄	mfwn
𫗅	thlj
𫗆	mtjn
𫗇	mqjd
𫗈	mqfb
𫗉	mqdh
𫗊	mquj
𫗋	mqgt
𫗌	dfau
𫗍	ftwe
𫗎	wpan	wyvn
𫗏	wpde	wyve
𫗐	wpwg	wyvg
𫗑	wpqc	wyvc
𫗒	wppv	wyvv
𫗓	wptk	wyvk
𫗔	wpsd	wyvd
𫗕	wpff	wyvf
𫗖	wpdd	wyvd
𫗗	wpnh	wyvh
𫗘	wptl	wyvl
𫗙	wpgm	wyvm
𫗚	ilre
𫗛	wppj	wyvj
𫗜	wpfj	wyvj
𫗝	wpal	wyvl
𫗞	qnfh
𫗟	qnfq
𫗠	qnty
𫗡	qndg
𫗢	qntf
𫗣	qnnt
𫗤	qndv
𫗥	qnpl
𫗦	qngy
𫗧	qngi
𫗨	qnye
𫗩	qnlq
𫗪	qntv
𫗫	qnde
𫗬	qndd
𫗭	qnle
𫗮	qnrg
𫗯	qnwd
𫗰	qnwp
𫗱	qnuo
𫗲	qnar
𫗳	qnxj
𫗴	qnyg
𫗵	qnye
𫗶	uthh
𫗷	uths
𫗸	uthj
𫗹	uthy
𫗺	utht
𫗻	uthe
𫗼	tjff
𫗽	tjwg
𫗾	tjfh
𫗿	tjnh	tjnj
𫘀	tjgt
𫘁	tjgm
𫘂	tjws
𫘃	tjuw
𫘄	tjpm
𫘅	ccyy
𫘆	cfwy
𫘇	caqn
𫘈	cmcy
𫘉	coy
𫘊	csg
𫘋	cgeg
𫘌	cham
𫘍	ckmk
𫘎	trtc
𫘏	cdmd
𫘐	ctgf
𫘑	cugd
𫘒	cgef
𫘓	clwt
𫘔	cwqj
𫘕	cuvo
𫘖	xqac
𫘗	casw
𫘘	khtc
𫘙	cmdo
𫘚	colw
𫘛	cfh
𫘜	cyy
𫘝	cnwy
𫘞	ctbn
𫘟	chcy
𫘠	cgcf
𫘡	ciqn
𫘢	cskg
𫘣	cjfh
𫘤	cctd
𫘥	cjxx
𫘦	cqrm
𫘧	cviy
𫘨	cjgh
𫘩	crgg
𫘪	cdri
𫘫	cjpv
𫘬	cexd
𫘭	cdqq
𫘮	cumd
𫘯	culj
𫘰	cylg
𫘱	cmwk
𫘲	mevj
𫘳	mevp
𫘴	menf
𫘵	ymkb
𫘶	rgyk
𫘷	ymkj
𫘸	denb
𫘹	deqy
𫘺	devf
𫘻	depm
𫘼	demf
𫘽	dewc
𫘾	dede
𫘿	devk
𫙀	defj
𫙁	deqq
𫙂	deov
𫙃	dejq
𫙄	gkmh
𫙅	gkme
𫙆	xwfh
𫙇	xuwh
𫙈	rqcw
𫙉	rqcq
𫙊	rqcd
𫙋	tjrc
𫙌	ffhc
𫙍	rqcl
𫙎	rqcf
𫙏	qofh
𫙐	qoaj
𫙑	qomc
𫙒	qoxh
𫙓	qdkq
𫙔	qohn
𫙕	qopw
𫙖	qonx
𫙗	qona
𫙘	qosg
𫙙	qoqc
𫙚	qoth
𫙛	qodi
𫙜	qoyv
𫙝	qoud
𫙞	qocc
𫙟	qovh
𫙠	qoey
𫙡	qorn
𫙢	qoys
𫙣	jfqo
𫙤	qosm
𫙥	qoik
𫙦	trqo
𫙧	qorp
𫙨	qowc
𫙩	qouk
𫙪	qovd
𫙫	qodn
𫙬	qoml
𫙭	qdqu
𫙮	qoqs
𫙯	qowe
𫙰	qoxl
𫙱	qofn
𫙲	qoih
𫙳	qotf
𫙴	qoyw
𫙵	qonj
𫙶	qoxl
𫙷	qokm
𫙸	qoua
𫙹	qomj
𫙺	qokt
𫙻	qopl
𫙼	qowu
𫙽	qoay
𫙾	qohe
𫙿	qoqc
𫚀	qour
𫚁	qoum
𫚂	qofy
𫚃	vqqo	wfqo
𫚄	qodl
𫚅	qovq
𫚆	qodm
𫚇	qonj
𫚈	qggg
𫚉	qgag
𫚊	qgnr
𫚋	qgfy
𫚌	qgit
𫚍	qgwv
𫚎	qggw
𫚏	qgsg
𫚐	qgmd
𫚑	qgnt
𫚒	qgxj
𫚓	gqjg
𫚔	qglk
𫚕	qgjh
𫚖	hxqg
𫚗	qgwk
𫚘	qgwf
𫚙	qggy
𫚚	qgbn
𫚛	qguq
𫚜	qgfq
𫚝	qgjs
𫚞	tqtg
𫚟	tryg
𫚠	qgub
𫚡	qgvh
𫚢	qgav
𫚣	qgwq
𫚤	qgux
𫚥	qgnc
𫚦	qgpk
𫚧	qggj
𫚨	qgub
𫚩	qgfe
𫚪	qgck
𫚫	qgks
𫚬	qgpe
𫚭	qgvn
𫚮	nwvo
𫚯	dmwo
𫚰	xxwo
𫚱	wvgc
𫚲	pmwo	pqwo
𫚳	wvgk
𫚴	twvo
𫚵	qtbo
𫚶	tuho
𫚷	mmgo
𫚸	wvge
𫚹	qbwo
𫚺	rewo
𫚻	vbwo
𫚼	wvge
𫚽	mgwo	mtfo
𫚾	kgdo
𫚿	whto
𫛀	vfbo
𫛁	gaho
𫛂	jqao
𫛃	mgyo
𫛄	hiwo
𫛅	udwo	ufho
𫛆	veho
𫛇	vcxo
𫛈	wvgy
𫛉	bbwo
𫛊	nuto
𫛋	ckno
𫛌	skso
𫛍	dwfo
𫛎	ttdo
𫛏	pwyo
𫛐	lako
𫛑	fkko
𫛒	raqo
𫛓	wvgf
𫛔	etno
𫛕	pwto
𫛖	qtco
𫛗	kako
𫛘	rrro
𫛙	pwto
𫛚	gaqg
𫛛	fcqg
𫛜	giqg
𫛝	myqg
𫛞	qynw
𫛟	dxqg
𫛠	snqg
𫛡	tpqg
𫛢	psqg
𫛣	qynw
𫛤	lkqg
𫛥	guwg
𫛦	dfng
𫛧	hiqg
𫛨	uaqg
𫛩	pvqg
𫛪	vkqg
𫛫	kmqg
𫛬	wtqg
𫛭	qtgg
𫛮	umig
𫛯	xyqg
𫛰	adwg
𫛱	hjqg
𫛲	mfkg
𫛳	ebcg
𫛴	ujfg
𫛵	nbmg
𫛶	gkig
𫛷	deqg
𫛸	jghg
𫛹	hitg
𫛺	qynd
𫛻	yacg
𫛼	wgdg
𫛽	ssqg
𫛾	qegg
𫛿	fotg
𫜀	jdfg
𫜁	umig
𫜂	ujqg
𫜃	sjqg
𫜄	usgg
𫜅	qyne
𫜆	ynwg
𫜇	hloo	hlqo
𫜈	txgo
𫜉	hloy	hlqy
𫜊	hlql
𫜋	ynjl
𫜌	ynjw
𫜍	ynjk
𫜎	ynjj
𫜏	oqax
𫜐	swwm
𫜑	gtdh
𫜒	gtpx
𫜓	gtke
𫜔	gtrf
𫜕	fpgt
𫜖	yssk
𫜗	yssj
𫜘	gmhw
𫜙	lfon
𫜚	lfon
𫜛	lfoh	lfoj
𫜜	wgni
𫜝	kkxf	kkmv
𫜞	lfox	lfov
𫜟	usgn
𫜠	hndb
𫜡	hndy
𫜢	vnug
𫜣	vnuu
𫜤	thld
𫜥	hbmm	hwwm
𫜦	hbgy	hwwy
𫜧	hbps	hwws
𫜨	hwbc
𫜩	dhvb
𫜪	hwbq
𫜫	hwby
𫜬	hwbj
𫜭	hwbr
𫜮	hwbe
𫜯	hwbk
𫜰	fmub
𫜱	amhd
𫜲	dedx
𫜳	mfqn
𫜴	ssoa
